Date,Value
01/10/1950,0.03
01/11/1950,0.03
01/12/1950,0.03
01/01/1951,0.03
01/02/1951,0.03
01/03/1951,0.03
01/04/1951,0.03
01/05/1951,0.03
01/06/1951,0.03
01/07/1951,0.03
01/08/1951,0.03
01/09/1951,0.03
01/10/1951,0.03
01/11/1951,0.03
01/12/1951,0.03
01/01/1952,0.03
01/02/1952,0.03
01/03/1952,0.03
01/04/1952,0.03
01/05/1952,0.03
01/06/1952,0.03
01/07/1952,0.03
01/08/1952,0.03
01/09/1952,0.03
01/10/1952,0.03
01/11/1952,0.03
01/12/1952,0.03
01/01/1953,0.03
01/02/1953,0.03
01/03/1953,0.03
01/04/1953,0.03
01/05/1953,0.03
01/06/1953,0.03
01/07/1953,0.03
01/08/1953,0.03
01/09/1953,0.03
01/10/1953,0.03
01/11/1953,0.03
01/12/1953,0.03
01/01/1954,0.02
01/02/1954,0.02
01/03/1954,0.02
01/04/1954,0.02
01/05/1954,0.02
01/06/1954,0.02
01/07/1954,0.02
01/08/1954,0.02
01/09/1954,0.02
01/10/1954,0.02
01/11/1954,0.02
01/12/1954,0.03
01/01/1955,0.03
01/02/1955,0.03
01/03/1955,0.03
01/04/1955,0.03
01/05/1955,0.03
01/06/1955,0.03
01/07/1955,0.03
01/08/1955,0.03
01/09/1955,0.03
01/10/1955,0.03
01/11/1955,0.03
01/12/1955,0.03
01/01/1956,0.03
01/02/1956,0.03
01/03/1956,0.03
01/04/1956,0.03
01/05/1956,0.03
01/06/1956,0.03
01/07/1956,0.03
01/08/1956,0.03
01/09/1956,0.03
01/10/1956,0.03
01/11/1956,0.03
01/12/1956,0.04
01/01/1957,0.03
01/02/1957,0.03
01/03/1957,0.03
01/04/1957,0.03
01/05/1957,0.04
01/06/1957,0.04
01/07/1957,0.04
01/08/1957,0.04
01/09/1957,0.04
01/10/1957,0.04
01/11/1957,0.04
01/12/1957,0.03
01/01/1958,0.03
01/02/1958,0.03
01/03/1958,0.03
01/04/1958,0.03
01/05/1958,0.03
01/06/1958,0.03
01/07/1958,0.03
01/08/1958,0.04
01/09/1958,0.04
01/10/1958,0.04
01/11/1958,0.04
01/12/1958,0.04
01/01/1959,0.04
01/02/1959,0.04
01/03/1959,0.04
01/04/1959,0.04
01/05/1959,0.04
01/06/1959,0.04
01/07/1959,0.04
01/08/1959,0.04
01/09/1959,0.05
01/10/1959,0.05
01/11/1959,0.05
01/12/1959,0.05
01/01/1960,0.05
01/02/1960,0.04
01/03/1960,0.04
01/04/1960,0.04
01/05/1960,0.04
01/06/1960,0.04
01/07/1960,0.04
01/08/1960,0.04
01/09/1960,0.04
01/10/1960,0.04
01/11/1960,0.04
01/12/1960,0.04
01/01/1961,0.04
01/02/1961,0.04
01/03/1961,0.04
01/04/1961,0.04
01/05/1961,0.04
01/06/1961,0.04
01/07/1961,0.04
01/08/1961,0.04
01/09/1961,0.04
01/10/1961,0.04
01/11/1961,0.04
01/12/1961,0.04
01/01/1962,0.04
01/02/1962,0.04
01/03/1962,0.04
01/04/1962,0.04
01/05/1962,0.04
01/06/1962,0.04
01/07/1962,0.04
01/08/1962,0.04
01/09/1962,0.04
01/10/1962,0.04
01/11/1962,0.04
01/12/1962,0.04
01/01/1963,0.04
01/02/1963,0.04
01/03/1963,0.04
01/04/1963,0.04
01/05/1963,0.04
01/06/1963,0.04
01/07/1963,0.04
01/08/1963,0.04
01/09/1963,0.04
01/10/1963,0.04
01/11/1963,0.04
01/12/1963,0.04
01/01/1964,0.04
01/02/1964,0.04
01/03/1964,0.04
01/04/1964,0.04
01/05/1964,0.04
01/06/1964,0.04
01/07/1964,0.04
01/08/1964,0.04
01/09/1964,0.04
01/10/1964,0.04
01/11/1964,0.04
01/12/1964,0.04
01/01/1965,0.04
01/02/1965,0.04
01/03/1965,0.04
01/04/1965,0.04
01/05/1965,0.04
01/06/1965,0.04
01/07/1965,0.04
01/08/1965,0.04
01/09/1965,0.04
01/10/1965,0.04
01/11/1965,0.04
01/12/1965,0.05
01/01/1966,0.05
01/02/1966,0.05
01/03/1966,0.05
01/04/1966,0.05
01/05/1966,0.05
01/06/1966,0.05
01/07/1966,0.05
01/08/1966,0.05
01/09/1966,0.05
01/10/1966,0.05
01/11/1966,0.05
01/12/1966,0.05
01/01/1967,0.05
01/02/1967,0.05
01/03/1967,0.05
01/04/1967,0.05
01/05/1967,0.05
01/06/1967,0.05
01/07/1967,0.05
01/08/1967,0.05
01/09/1967,0.05
01/10/1967,0.05
01/11/1967,0.06
01/12/1967,0.06
01/01/1968,0.06
01/02/1968,0.06
01/03/1968,0.06
01/04/1968,0.06
01/05/1968,0.06
01/06/1968,0.06
01/07/1968,0.06
01/08/1968,0.05
01/09/1968,0.05
01/10/1968,0.06
01/11/1968,0.06
01/12/1968,0.06
01/01/1969,0.06
01/02/1969,0.06
01/03/1969,0.06
01/04/1969,0.06
01/05/1969,0.06
01/06/1969,0.07
01/07/1969,0.07
01/08/1969,0.07
01/09/1969,0.07
01/10/1969,0.07
01/11/1969,0.07
01/12/1969,0.08
01/01/1970,0.08
01/02/1970,0.07
01/03/1970,0.07
01/04/1970,0.07
01/05/1970,0.08
01/06/1970,0.08
01/07/1970,0.07
01/08/1970,0.08
01/09/1970,0.07
01/10/1970,0.07
01/11/1970,0.07
01/12/1970,0.06
01/01/1971,0.06
01/02/1971,0.06
01/03/1971,0.06
01/04/1971,0.06
01/05/1971,0.06
01/06/1971,0.07
01/07/1971,0.07
01/08/1971,0.07
01/09/1971,0.06
01/10/1971,0.06
01/11/1971,0.06
01/12/1971,0.06
01/01/1972,0.06
01/02/1972,0.06
01/03/1972,0.06
01/04/1972,0.06
01/05/1972,0.06
01/06/1972,0.06
01/07/1972,0.06
01/08/1972,0.06
01/09/1972,0.07
01/10/1972,0.06
01/11/1972,0.06
01/12/1972,0.06
01/01/1973,0.06
01/02/1973,0.07
01/03/1973,0.07
01/04/1973,0.07
01/05/1973,0.07
01/06/1973,0.07
01/07/1973,0.07
01/08/1973,0.07
01/09/1973,0.07
01/10/1973,0.07
01/11/1973,0.07
01/12/1973,0.07
