Date,Inflation_rate
01/01/2018,0.0207
01/01/2017,0.025
01/01/2016,0.0137
01/01/2015,-0.0009
01/01/2014,0.0158
01/01/2013,0.0159
01/01/2012,0.0293
01/01/2011,0.0163
01/01/2010,0.0263
01/01/2009,0.0003
01/01/2008,0.0428
01/01/2007,0.0208
01/01/2006,0.0399
01/01/2005,0.0297
01/01/2004,0.0193
01/01/2003,0.026
01/01/2002,0.0114
01/01/2001,0.0373
01/01/2000,0.0274
01/01/1999,0.0167
01/01/1998,0.0157
01/01/1997,0.0304
01/01/1996,0.0273
01/01/1995,0.028
01/01/1994,0.0252
01/01/1993,0.0326
01/01/1992,0.026
01/01/1991,0.0565
01/01/1990,0.052
01/01/1989,0.0467
01/01/1988,0.0405
01/01/1987,0.0146
01/01/1986,0.0389
01/01/1985,0.0353
01/01/1984,0.0419
01/01/1983,0.0371
01/01/1982,0.0839
01/01/1981,0.1183
01/01/1980,0.1391
01/01/1979,0.0928
01/01/1978,0.0684
01/01/1977,0.0522
01/01/1976,0.0672
01/01/1975,0.118
01/01/1974,0.0939
01/01/1973,0.0365
01/01/1972,0.0327
01/01/1971,0.0529
01/01/1970,0.0618
01/01/1969,0.044
01/01/1968,0.0365
01/01/1967,0.0346
01/01/1966,0.0192
01/01/1965,0.0097
01/01/1964,0.0164
01/01/1963,0.0133
01/01/1962,0.0067
01/01/1961,0.0171
01/01/1960,0.0103
01/01/1959,0.014
01/01/1958,0.0362
01/01/1957,0.0299
01/01/1956,0.0037
01/01/1955,-0.0074
01/01/1954,0.0113
01/01/1953,0.0038
01/01/1952,0.0433
01/01/1951,0.0809
01/01/1950,-0.0208
01/01/1949,0.0127
