OrderID,Date,Order_type ,Action,Indicator,Set_description,Number of Sets,Profit
647e37e4-c2d0-4951-aded-7b878347f342,1954-04-08,Option,Sell,RSI,Sell 1 put option,100,23384.867590800175,
8cd4484e-f25d-4ec4-9084-da45239eddf6,1954-04-21,Option,Sell,RSI,Sell 1 put option,100,26484.86722120237,
0afc6f30-87a2-40f7-9b14-baa83deba1fb,1954-05-05,Option,Sell,RSI,Sell 1 put option,100,34334.863201797685,
0e4093ba-0a1e-443d-822e-c0b3b8e024f0,1954-05-28,Option,Sell,RSI,Sell 1 put option,100,41684.86195439745,
30313584-1d84-4cf3-85c4-1bcc304f309a,1954-06-03,Option,Sell,RSI,Sell 1 put option,100,41784.86327109749,
fbc4ca9b-a814-4ee4-b902-4aa099b45e06,1954-06-09,Option,Buy,RSI,Buy 1 call option,100,-12965.07082459985,
3e76cdbb-6a3e-40bc-b4ee-ae2c7fefde8d,1954-06-23,Option,Sell,RSI,Sell 1 put option,100,38234.85927480031,
ebf45edc-d46f-4af3-955e-69028c0e6754,1954-07-28,Option,Sell,RSI,Sell 1 put option,100,37044.85557879798,
2d855c06-4322-4d82-9e84-4e4c59f39b79,1954-08-31,Option,Buy,RSI,Buy 1 call option,100,6844.930212597671,
462495a4-04ac-46fb-9c36-3b81dedf9c9a,1954-09-14,Option,Sell,RSI,Sell 1 put option,100,40194.84784029751,
90667660-7b38-4b81-9da0-71891a93bcfd,1954-10-05,Option,Sell,RSI,Sell 1 put option,100,48344.83973219752,
c1d4f074-223d-48fe-8b21-c322eb8c75c0,1954-10-19,Option,Buy,RSI,Buy 1 call option,100,-19395.059879804612,
6566978d-1511-42e3-b252-76a18120fe75,1954-11-09,Option,Sell,RSI,Sell 1 put option,100,49884.83804589766,
11fd3b73-289c-4cc2-9762-e37d747988d0,1955-03-23,Dividend,Pay,Empty,Pay dividends to investors,1,0.0,
4fbb183d-70ce-4a23-ae3d-db97247b6e5f,1955-01-04,Option,Sell,RSI,Sell 1 put option,100,64484.83079250022,
25993a9f-140f-4bc5-a503-bbe42ac81022,1955-01-18,Option,Buy,RSI,Buy 1 call option,100,-25275.07840370002,
cd5f08e0-dd33-4c33-b2f0-d4a03c2b0e63,1955-02-01,Option,Sell,RSI,Sell 1 put option,100,62414.827304395614,
85caa120-f90b-452e-af9f-86a68afc5d28,1955-02-11,Option,Sell,RSI,Sell 1 put option,100,63044.82825149298,
08a09f5f-568f-47ec-b470-04bac9a39212,1955-02-25,Option,Buy,RSI,Buy 1 call option,100,-47735.10743349543,
6bf9188f-f301-4fd9-8fb4-fc0986ec2c94,1955-03-04,Option,Sell,RSI,Sell 1 put option,100,62274.82552570433,
a6fb05f4-0313-4ee8-bb44-a51817fb8408,1955-03-15,Option,Buy,RSI,Buy 1 call option,100,-16565.091522197756,
4ef101da-dd84-4086-a340-203db391a676,1955-03-29,Option,Sell,RSI,Sell 1 put option,100,57674.82018959998,
823aa059-d78f-4994-8510-732d1bc9df4f,1955-07-01,Option,Sell,Unemployment,Sell 1 put option,100,74344.95242555115,
53e760d0-a715-45ca-a0e2-dc506dcf653b,1955-04-05,Option,Sell,RSI,Sell 1 put option,100,57854.81827230255,
bc38e797-4fa3-418a-a6d5-752eff149604,1955-04-12,Option,Sell,RSI,Sell 1 put option,100,59194.81425289979,
00b656b5-c4b1-4e31-b028-c99e7b95e8cf,1955-08-01,Option,Sell,Unemployment,Sell 1 put option,100,80214.95041585,
e22b34c3-7bfb-4e2f-99e2-4053f708ce07,1955-05-17,Option,Buy,RSI,Buy 1 call option,100,-4985.127412695344,
ea6b6120-e73e-438b-a113-95bfd0366b32,1955-05-31,Option,Sell,RSI,Sell 1 put option,100,59884.813190302244,
ecd0df05-e2ae-4290-82d3-9872ce55594e,1955-09-01,Option,Sell,Unemployment,Sell 1 put option,100,79534.94990765116,
b468f6ae-1f8c-4116-9896-bfc103186053,1955-06-23,Option,Sell,RSI,Sell 1 put option,100,71414.80101660208,
26b92f28-bb7a-42ef-aa00-ff3da03078c9,1955-07-01,Option,Buy,Unemployment,Buy 1 call option,100,-46355.250993044916,
94586020-16a7-49c0-a13e-b6d0a7124818,1955-07-21,Option,Buy,RSI,Buy 1 call option,100,-79085.09718169953,
29823145-4720-4e7c-8f5a-1958431ec746,1955-07-28,Option,Sell,RSI,Sell 1 put option,100,80674.8018250981,
0e72df1d-815e-4524-86e0-9507a85d3299,1955-08-01,Option,Buy,Unemployment,Buy 1 call option,100,-80625.24519495087,
36af2fbd-4343-4086-90bf-c0abe8035e3d,1955-11-01,Option,Sell,Unemployment,Sell 1 put option,100,76024.95116660115,
a1dfa86c-7423-48f0-a29b-414cf44155f4,1955-08-09,Option,Buy,RSI,Buy 1 call option,100,-53445.08198650487,
312f7355-b6fb-4aab-83cd-e042f87f7996,1955-08-17,Option,Buy,RSI,Buy 1 call option,100,-34335.13674509741,
a0d75f54-d6eb-4d9a-b714-7d403590ee25,1955-08-24,Option,Sell,RSI,Sell 1 put option,100,78124.79609629742,
9d29f371-9d0c-4d4f-8dfb-07f207daa4ca,1955-09-01,Option,Buy,Unemployment,Buy 1 call option,100,-58655.270348539656,
c5ad1a44-0d32-4962-86ab-e1d3bf8dc800,1955-10-12,Option,Buy,RSI,Buy 1 call option,100,-46905.10200960009,
8f058a11-a403-4803-a07a-e46186b65d24,1955-10-25,Option,Sell,RSI,Sell 1 put option,100,76124.80194059483,
452a0260-bc5b-47b3-ab16-65f9cebc820a,1955-11-01,Option,Buy,Unemployment,Buy 1 call option,100,-64185.239803398945,
9d9f80c8-c528-41dd-97eb-0145d194d7a0,1955-11-29,Option,Buy,RSI,Buy 1 call option,100,-84435.10457369994,
e47dd8d7-5298-43d7-a2b5-bb9dce6d0160,1955-12-20,Option,Buy,RSI,Buy 1 call option,100,-46905.12224290025,
22391091-237b-41f6-aec4-7bcc5834cc64,1956-03-23,Dividend,Pay,Empty,Pay dividends to investors,1,0.0,
aa51ae3a-5cf3-46f6-ab1c-2817f42f18f6,1956-01-05,Option,Buy,RSI,Buy 1 call option,100,-44435.13272799754,
9051a6a7-5515-4acf-8d29-dafc4a242ce4,1956-01-10,Option,Buy,RSI,Buy 1 call option,100,-36365.1022891026,
194bb5b8-9741-400c-b7da-aeb9167e8750,1956-01-17,Option,Buy,RSI,Buy 1 call option,100,-45575.130787597576,
5186e486-25b2-440f-b4f0-cbf467ea3cc0,1956-01-27,Option,Buy,RSI,Buy 1 call option,100,-35265.069701904475,
1417476d-d48b-4dc4-be22-63d49139178e,1956-02-24,Option,Sell,RSI,Sell 1 put option,100,79724.79228480393,
32699f2f-ad18-49d6-9b59-9f0720984f5f,1956-04-19,Option,Buy,RSI,Buy 1 call option,100,-72075.12388299714,
0a65b7f9-fe4c-40d5-8887-c9bd699a69c4,1956-04-26,Option,Buy,RSI,Buy 1 call option,100,-69555.14420639693,
a4b2391d-efbf-4dff-8944-1d61f2fb8b0b,1956-05-15,Option,Buy,RSI,Buy 1 call option,100,-63605.08221980446,
b948bd56-8b2c-4d89-beb8-d1a76681b876,1956-06-08,Option,Sell,RSI,Sell 1 put option,100,82164.78461560725,
dcf68e81-2b94-422f-9751-1369dd4c0393,1956-06-12,Option,Sell,RSI,Sell 1 put option,100,85014.78304479571,
d9568577-4373-4caf-8625-6db8eee15556,1956-06-26,Option,Sell,MAVG,Sell 2 call options,200,169989.56978558825,
