Date,Portfolio_value,Portfolio_value_without_options,Portfolio_cash,Neto_coverage_ratio
1953-12-03,1000000,1000000,1000000,1
1953-12-04,1000000,1000000,1000000,1
1953-12-05,1000000,1000000,1000000,1
1953-12-06,1000000,1000000,1000000,1
1953-12-07,1000000,1000000,1000000,1
1953-12-08,1000000,1000000,1000000,1
1953-12-09,1000000,1000000,1000000,1
1953-12-10,1000000,1000000,1000000,1
1953-12-11,1000000,1000000,1000000,1
1953-12-12,1000000,1000000,1000000,1
1953-12-13,1000000,1000000,1000000,1
1953-12-14,1000000,1000000,1000000,1
1953-12-15,1000000,1000000,1000000,1
1953-12-16,1000000,1000000,1000000,1
1953-12-17,1000000,1000000,1000000,1
1953-12-18,1000000,1000000,1000000,1
1953-12-19,1000000,1000000,1000000,1
1953-12-20,1000000,1000000,1000000,1
1953-12-21,1000000,1000000,1000000,1
1953-12-22,1000000,1000000,1000000,1
1953-12-23,1000000,1000000,1000000,1
1953-12-24,1000000,1000000,1000000,1
1953-12-25,1000000,1000000,1000000,1
1953-12-26,1000000,1000000,1000000,1
1953-12-27,1000000,1000000,1000000,1
1953-12-28,1000000,1000000,1000000,1
1953-12-29,1000000,1000000,1000000,1
1953-12-30,1000000,1000000,1000000,1
1953-12-31,1000000,1000000,1000000,1
1954-01-01,1000000,1000000,1000000,1
1954-01-02,1000000,1000000,1000000,1
1954-01-03,1000000,1000000,1000000,1
1954-01-04,1000000,1000000,1000000,1
1954-01-05,1000000,1000000,1000000,1
1954-01-06,1000000,1000000,1000000,1
1954-01-07,991383.30236389250239264965057373046875,997710.9521113920,1498910.93211139203049242496490478515625,0.8328119539117641349226315910358
1954-01-08,992683.29236389250239264965057373046875,1000310.932111392,1498910.93211139203049242496490478515625,0.8328119539117641349226315910358
1954-01-09,992683.29236389250239264965057373046875,1000310.932111392,1498910.93211139203049242496490478515625,0.8328119539117641349226315910358
1954-01-10,992683.29236389250239264965057373046875,1000310.932111392,1498910.93211139203049242496490478515625,0.8328119539117641349226315910358
1954-01-11,993983.30236389250239264965057373046875,1002910.9521113920,1498910.93211139203049242496490478515625,0.8328119539117641349226315910358
1954-01-12,992683.29236389250239264965057373046875,1000310.932111392,1498910.93211139203049242496490478515625,0.8328119539117641349226315910358
1954-01-13,991183.28236389250239264965057373046875,997510.932111392,1498910.93211139203049242496490478515625,0.83274523213540139034890755434166
1954-01-14,988783.26236389250239264965057373046875,995110.9121113920,1498910.93211139203049242496490478515625,0.83194464420566386128928
1954-01-15,983983.28236389250239264965057373046875,990310.932111392,1498910.93211139203049242496490478515625,0.83034348836072027748594810956954
1954-01-16,983983.28236389250239264965057373046875,990310.932111392,1498910.93211139203049242496490478515625,0.83034348836072027748594810956954
1954-01-17,983983.28236389250239264965057373046875,990310.932111392,1498910.93211139203049242496490478515625,0.83034348836072027748594810956954
1954-01-18,983983.28236389250239264965057373046875,990310.932111392,1498910.93211139203049242496490478515625,0.83034348836072027748594810956954
1954-01-19,978983.28236389250239264965057373046875,985310.932111392,1498910.93211139203049242496490478515625,0.82867561073941394910889293958890
1954-01-20,977583.28236389250239264965057373046875,983910.932111392,1498910.93211139203049242496490478515625,0.82820860500544817716331749199432
1954-01-21,976783.26236389250239264965057373046875,983110.9121113920,1498910.93211139203049242496490478515625,0.82794173791452867318435
1954-01-22,975583.28236389250239264965057373046875,981910.932111392,1498910.93211139203049242496490478515625,0.82754145395692564581249542400207
1954-01-23,975583.28236389250239264965057373046875,981910.932111392,1498910.93211139203049242496490478515625,0.82754145395692564581249542400207
1954-01-24,975583.28236389250239264965057373046875,981910.932111392,1498910.93211139203049242496490478515625,0.82754145395692564581249542400207
1954-01-25,973983.28236389250239264965057373046875,980310.932111392,1498910.93211139203049242496490478515625,0.82700773311810762073183776960826
1954-01-26,970783.28236389250239264965057373046875,977110.932111392,1498910.93211139203049242496490478515625,0.82594029144047157057052246082066
1954-01-27,972383.28236389250239264965057373046875,978710.932111392,1498910.93211139203049242496490478515625,0.82647401227928959565118011521446
1954-01-28,972183.28236389250239264965057373046875,978510.932111392,1498910.93211139203049242496490478515625,0.82640729717443734251609790841524
1954-01-29,970983.28236389250239264965057373046875,977310.932111392,1498910.93211139203049242496490478515625,0.82600700654532382370560466761988
1954-01-30,970983.28236389250239264965057373046875,977310.932111392,1498910.93211139203049242496490478515625,0.82600700654532382370560466761988
1954-01-31,970983.28236389250239264965057373046875,977310.932111392,1498910.93211139203049242496490478515625,0.82600700654532382370560466761988
1954-02-01,972783.28236389250239264965057373046875,979110.932111392,1498910.93211139203049242496490478515625,0.82660744248899410192134452881291
1954-02-02,974183.28236389250239264965057373046875,980510.932111392,1498910.93211139203049242496490478515625,0.82707444822295987386691997640749
1954-02-03,972383.28236389250239264965057373046875,978710.932111392,1498910.93211139203049242496490478515625,0.82647401227928959565118011521446
1954-02-04,968583.26236389250239264965057373046875,974910.9121113920,1498910.93211139203049242496490478515625,0.82520641861558629464598
1954-02-05,957814.451866888661170157603919506072998046875,970874.9013583870,2022874.86135838669724762439727783203125,0.73997403890481679381648782874282
1954-02-06,957814.451866888661170157603919506072998046875,970874.9013583870,2022874.86135838669724762439727783203125,0.73997403890481679381648782874282
1954-02-07,957814.451866888661170157603919506072998046875,970874.9013583870,2022874.86135838669724762439727783203125,0.73997403890481679381648782874282
1954-02-08,959914.421866888661170157603919506072998046875,973674.861358387,2022874.86135838669724762439727783203125,0.7403200761280634845811174522987
1954-02-09,961714.421866888661170157603919506072998046875,976074.861358387,2022874.86135838669724762439727783203125,0.7406166836995259586466770248387
1954-02-10,962614.451866888661170157603919506072998046875,977274.9013583870,2022874.86135838669724762439727783203125,0.74076499242871672465798002218284
1954-02-11,965014.451866888661170157603919506072998046875,980474.9013583870,2022874.86135838669724762439727783203125,0.74116046919066669007872611890285
1954-02-12,963214.391866887661170157603919506072998046875,978074.8213583870,2022874.86135838669724762439727783203125,0.74086385173228515805612012421456
1954-02-13,963214.391866887661170157603919506072998046875,978074.8213583870,2022874.86135838669724762439727783203125,0.74086385173228515805612012421456
1954-02-14,963214.391866887661170157603919506072998046875,978074.8213583870,2022874.86135838669724762439727783203125,0.74086385173228515805612012421456
1954-02-15,965614.391866887661170157603919506072998046875,981274.8213583870,2022874.86135838669724762439727783203125,0.74125932849423512347686622093457
1954-02-16,972514.451866888661170157603919506072998046875,990474.9013583870,2022874.86135838669724762439727783203125,0.74239633407176033201855767115288
1954-02-17,971014.391866887661170157603919506072998046875,988474.8213583870,2022874.86135838669724762439727783203125,0.74214915120862254567354493855459
1954-02-18,971014.391866887661170157603919506072998046875,988474.8213583870,2022874.86135838669724762439727783203125,0.74214915120862254567354493855459
1954-02-19,450479.421866878661170157603919506072998046875,467339.861358377,1504139.86135837738402187824249267578125,0.6528248446734167982245607690209
1954-02-20,450479.421866878661170157603919506072998046875,467339.861358377,1504139.86135837738402187824249267578125,0.6528248446734167982245607690209
1954-02-21,450479.421866878661170157603919506072998046875,467339.861358377,1504139.86135837738402187824249267578125,0.6528248446734167982245607690209
1954-02-22,450479.421866878661170157603919506072998046875,467339.861358377,1504139.86135837738402187824249267578125,0.6528248446734167982245607690209
1954-02-23,453179.421866878661170157603919506072998046875,470939.861358377,1504139.86135837738402187824249267578125,0.6534231932865485696119375688880
1954-02-24,453179.421866878661170157603919506072998046875,470939.861358377,1504139.86135837738402187824249267578125,0.6534231932865485696119375688880
1954-02-25,450779.421866878661170157603919506072998046875,467739.861358377,1504139.86135837738402187824249267578125,0.6528913278526536617120470801172
1954-02-26,445879.421866878661170157603919506072998046875,458139.861358377,1504139.86135837738402187824249267578125,0.6528248446734167982245607690209
1954-02-27,445879.421866878661170157603919506072998046875,458139.861358377,1504139.86135837738402187824249267578125,0.6528248446734167982245607690209
1954-02-28,445879.421866878661170157603919506072998046875,458139.861358377,1504139.86135837738402187824249267578125,0.6528248446734167982245607690209
1954-03-01,443879.421866878661170157603919506072998046875,454139.861358377,1504139.86135837738402187824249267578125,0.6528248446734167982245607690209
1954-03-02,442279.411866878661170157603919506072998046875,451339.861358377,1504139.86135837738402187824249267578125,0.65269187166662514137151083264723
1954-03-03,433373.99106767320357756875455379486083984375,449290.800559173,2028490.80055917263962328433990478515625,0.61271700133742684790257462748493
1954-03-04,428873.99106767320357756875455379486083984375,443890.800559173,2028490.80055917263962328433990478515625,0.61182964212460526990642472209984
1954-03-05,423373.99106767320357756875455379486083984375,437290.800559173,2028490.80055917263962328433990478515625,0.61074509197560111902224150440695
1954-03-06,423373.99106767320357756875455379486083984375,437290.800559173,2028490.80055917263962328433990478515625,0.61074509197560111902224150440695
1954-03-07,423373.99106767320357756875455379486083984375,437290.800559173,2028490.80055917263962328433990478515625,0.61074509197560111902224150440695
1954-03-08,426873.94106767320357756875455379486083984375,441490.740559173,2028490.80055917263962328433990478515625,0.61143525039269330581929517699912
1954-03-09,423873.99106767320357756875455379486083984375,437890.800559173,2028490.80055917263962328433990478515625,0.61084368744369240546625816056085
1954-03-10,420873.99106767320357756875455379486083984375,434290.800559173,2028490.80055917263962328433990478515625,0.61025211463514468680215822363746
1954-03-11,414873.94106767320357756875455379486083984375,427090.740559173,2028490.80055917263962328433990478515625,0.60906895915850243116289542930554
