Date,Open,High,Low
03/01/1950,16.66,16.66,16.66
04/01/1950,16.85,16.85,16.85
05/01/1950,16.93,16.93,16.93
06/01/1950,16.98,16.98,16.98
09/01/1950,17.09,17.09,17.08
10/01/1950,17.030001,17.030001,17.030001
11/01/1950,17.09,17.09,17.09
12/01/1950,16.76,16.76,16.76
13/01/1950,16.67,16.67,16.67
16/01/1950,16.65,16.719999,16.65
17/01/1950,16.860001,16.860001,16.860001
18/01/1950,16.85,16.85,16.85
19/01/1950,16.870001,16.870001,16.870001
20/01/1950,16.9,16.9,16.9
23/01/1950,16.940001,16.940001,16.92
24/01/1950,16.860001,16.860001,16.860001
25/01/1950,16.74,16.74,16.74
26/01/1950,16.73,16.73,16.73
27/01/1950,16.82,16.82,16.82
30/01/1950,16.9,17.02,16.9
31/01/1950,17.049999,17.049999,17.049999
01/02/1950,17.049999,17.049999,17.049999
02/02/1950,17.23,17.23,17.23
03/02/1950,17.290001,17.290001,17.290001
06/02/1950,17.35,17.35,17.32
07/02/1950,17.23,17.23,17.23
08/02/1950,17.209999,17.209999,17.209999
09/02/1950,17.280001,17.280001,17.280001
10/02/1950,17.24,17.24,17.24
14/02/1950,17.209999,17.209999,17.059999
15/02/1950,17.059999,17.059999,17.059999
16/02/1950,16.99,16.99,16.99
17/02/1950,17.15,17.15,17.15
20/02/1950,17.23,17.23,17.200001
21/02/1950,17.17,17.17,17.17
23/02/1950,17.209999,17.209999,17.209999
24/02/1950,17.280001,17.280001,17.280001
27/02/1950,17.26,17.280001,17.26
28/02/1950,17.219999,17.219999,17.219999
01/03/1950,17.24,17.24,17.24
02/03/1950,17.23,17.23,17.23
03/03/1950,17.290001,17.290001,17.290001
06/03/1950,17.33,17.33,17.32
07/03/1950,17.200001,17.200001,17.200001
08/03/1950,17.190001,17.190001,17.190001
09/03/1950,17.07,17.07,17.07
10/03/1950,17.09,17.09,17.09
13/03/1950,17.139999,17.139999,17.120001
14/03/1950,17.25,17.25,17.25
15/03/1950,17.450001,17.450001,17.450001
16/03/1950,17.49,17.49,17.49
17/03/1950,17.450001,17.450001,17.450001
20/03/1950,17.49,17.49,17.440001
21/03/1950,17.450001,17.450001,17.450001
22/03/1950,17.549999,17.549999,17.549999
23/03/1950,17.559999,17.559999,17.559999
24/03/1950,17.559999,17.559999,17.559999
27/03/1950,17.610001,17.610001,17.459999
28/03/1950,17.530001,17.530001,17.530001
29/03/1950,17.440001,17.440001,17.440001
30/03/1950,17.299999,17.299999,17.299999
31/03/1950,17.290001,17.290001,17.290001
03/04/1950,17.34,17.530001,17.34
04/04/1950,17.549999,17.549999,17.549999
05/04/1950,17.629999,17.629999,17.629999
06/04/1950,17.780001,17.780001,17.780001
10/04/1950,17.82,17.85,17.82
11/04/1950,17.75,17.75,17.75
12/04/1950,17.940001,17.940001,17.940001
13/04/1950,17.98,17.98,17.98
14/04/1950,17.959999,17.959999,17.959999
17/04/1950,17.860001,17.879999,17.860001
18/04/1950,18.030001,18.030001,18.030001
19/04/1950,18.049999,18.049999,18.049999
20/04/1950,17.93,17.93,17.93
21/04/1950,17.959999,17.959999,17.959999
24/04/1950,17.950001,17.950001,17.83
25/04/1950,17.83,17.83,17.83
26/04/1950,17.76,17.76,17.76
27/04/1950,17.860001,17.860001,17.860001
28/04/1950,17.959999,17.959999,17.959999
01/05/1950,18.07,18.219999,18.07
02/05/1950,18.110001,18.110001,18.110001
03/05/1950,18.27,18.27,18.27
04/05/1950,18.120001,18.120001,18.120001
