Date,Value
01/01/1948,0.034
01/02/1948,0.038
01/03/1948,0.04
01/04/1948,0.039
01/05/1948,0.035
01/06/1948,0.036
01/07/1948,0.036
01/08/1948,0.039
01/09/1948,0.038
01/10/1948,0.037
01/11/1948,0.038
01/12/1948,0.04
01/01/1949,0.043
01/02/1949,0.047
01/03/1949,0.05
01/04/1949,0.053
01/05/1949,0.061
01/06/1949,0.062
01/07/1949,0.067
01/08/1949,0.068
01/09/1949,0.066
01/10/1949,0.079
01/11/1949,0.064
01/12/1949,0.066
01/01/1950,0.065
01/02/1950,0.064
01/03/1950,0.063
01/04/1950,0.058
01/05/1950,0.055
01/06/1950,0.054
01/07/1950,0.05
01/08/1950,0.045
01/09/1950,0.044
01/10/1950,0.042
01/11/1950,0.042
01/12/1950,0.043
01/01/1951,0.037
01/02/1951,0.034
01/03/1951,0.034
01/04/1951,0.031
01/05/1951,0.03
01/06/1951,0.032
01/07/1951,0.031
01/08/1951,0.031
01/09/1951,0.033
01/10/1951,0.035
01/11/1951,0.035
01/12/1951,0.031
01/01/1952,0.032
01/02/1952,0.031
01/03/1952,0.029
01/04/1952,0.029
01/05/1952,0.03
01/06/1952,0.03
01/07/1952,0.032
01/08/1952,0.034
01/09/1952,0.031
01/10/1952,0.03
01/11/1952,0.028
01/12/1952,0.027
01/01/1953,0.029
01/02/1953,0.026
01/03/1953,0.026
01/04/1953,0.027
01/05/1953,0.025
01/06/1953,0.025
01/07/1953,0.026
01/08/1953,0.027
01/09/1953,0.029
01/10/1953,0.031
01/11/1953,0.035
01/12/1953,0.045
01/01/1954,0.049
01/02/1954,0.052
01/03/1954,0.057
01/04/1954,0.059
01/05/1954,0.059
01/06/1954,0.056
01/07/1954,0.058
01/08/1954,0.06
01/09/1954,0.061
01/10/1954,0.057
01/11/1954,0.053
01/12/1954,0.05
01/01/1955,0.049
01/02/1955,0.047
01/03/1955,0.046
01/04/1955,0.047
01/05/1955,0.043
01/06/1955,0.042
01/07/1955,0.04
01/08/1955,0.042
01/09/1955,0.041
01/10/1955,0.043
01/11/1955,0.042
01/12/1955,0.042
01/01/1956,0.04
01/02/1956,0.039
01/03/1956,0.042
01/04/1956,0.04
01/05/1956,0.043
01/06/1956,0.043
01/07/1956,0.044
01/08/1956,0.041
01/09/1956,0.039
01/10/1956,0.039
01/11/1956,0.043
01/12/1956,0.042
01/01/1957,0.042
01/02/1957,0.039
01/03/1957,0.037
01/04/1957,0.039
01/05/1957,0.041
01/06/1957,0.043
01/07/1957,0.042
01/08/1957,0.041
01/09/1957,0.044
01/10/1957,0.045
01/11/1957,0.051
01/12/1957,0.052
01/01/1958,0.058
01/02/1958,0.064
01/03/1958,0.067
01/04/1958,0.074
01/05/1958,0.074
01/06/1958,0.073
01/07/1958,0.075
